№;Code;Security name (rus);Security name (eng);Sector (rus);Sector (eng);Security status (rus);Security status (eng)
37;OTCP;"""Отисифарм"", ао";"PJSC ""OTCPharm"", Ordinary shares";Потребительский сектор;Consumer;Торги прекращены;Trading stopped
38;PRTK;"ПАО ""ПРОТЕК"", ао";PROTEK, Ordinary shares;Потребительский сектор;Consumer;Торги прекращены;Trading stopped
39;RBCM;"ПАО ""ГК РБК"", ао";RBC Group PJSC, Ordinary shares;Потребительский сектор;Consumer;;
40;SVAV;"ПАО ""СОЛЛЕРС"", ао";"PJSC ""SOLLERS"", Ordinary shares";Потребительский сектор;Consumer;;
41;WUSH;ПАО «ВУШ Холдинг», ао;"PJSC ""WHOOSH Holding"", Ordinary shares";Потребительский сектор;Consumer;;
42;DVEC;"ПАО ""Дальневосточная энергетическая компания"", ао ";"PJSC ""FEEC"", Ordinary shares";Электроэнергетика;Electric Utilities;;
43;ELFV;"ПАО ""ЭЛ5-Энерго"", ао";"PJSC ""EL5-Energo"", Ordinary shares";Электроэнергетика;Electric Utilities;;
44;FEES;"ПАО ""ФСК - Россети"", ао";"PJSC ""FGC Rosseti"", Ordinary shares";Электроэнергетика;Electric Utilities;;
45;HYDR;"ПАО ""РусГидро"", ао";"PJSC ""RusHydro"", Ordinary shares";Электроэнергетика;Electric Utilities;;
46;IRAO;"ПАО ""Интер РАО"", ао";"PJSC ""Inter RAO"", Ordinary shares";Электроэнергетика;Electric Utilities;;
47;IRGZ;"ПАО ""Иркутскэнерго"", ао";"JSC ""Irkutskenergo"", Ordinary shares";Электроэнергетика;Electric Utilities;;
48;KGKC;"ПАО ""Курганская генерирующая компания"", ао";"PJSC ""Kurgan Generation Company"", Ordinary shares";Электроэнергетика;Electric Utilities;;
49;LSNG;"ПАО ""Россети Ленэнерго"", ао";"""Rosseti Lenenergo"" PJSC, Ordinary shares";Электроэнергетика;Electric Utilities;;
50;LSNGP;"ПАО ""Ленэнерго"", ап";"PJSC ""LENENERGO"", Preferred shares";Электроэнергетика;Electric Utilities;;
51;MRKC;"ПАО ""Россети Центр"", ао";"PJSC ""Rosseti Centre"", Ordinary shares";Электроэнергетика;Electric Utilities;;
52;MRKP;"ПАО ""Россети Центр и Приволжье"", ао";"PJSC ""Rosseti Center and Volga Region"", Ordinary shares";Электроэнергетика;Electric Utilities;;
