iter	Passed	Remaining
909	13501	1335
910	13517	1320
911	13533	1305
912	13549	1291
913	13566	1276
914	13580	1261
915	13594	1246
916	13607	1231
917	13619	1216
918	13632	1201
919	13646	1186
920	13659	1171
921	13673	1156
922	13687	1141
923	13701	1126
924	13714	1111
925	13728	1097
926	13741	1082
927	13753	1067
928	13766	1052
929	13778	1037
930	13791	1022
931	13805	1007
932	13818	992
933	13832	977
934	13845	962
935	13857	947
936	13871	932
937	13885	917
938	13898	902
939	13912	888
940	13925	873
941	13939	858
942	13954	843
943	13967	828
944	13980	813
945	13994	798
946	14007	783
947	14019	769
948	14033	754
949	14047	739
950	14060	724
951	14074	709
952	14088	694
953	14101	679
954	14114	665
955	14127	650
956	14141	635
957	14159	620
958	14173	605
959	14186	591
960	14199	576
961	14213	561
962	14227	546
963	14240	531
964	14251	516
965	14265	502
966	14279	487
967	14295	472
968	14307	457
969	14319	442
970	14333	428
971	14347	413
972	14360	398
973	14373	383
974	14386	368
975	14399	354
976	14411	339
977	14424	324
978	14437	309
979	14451	294
980	14463	280
981	14477	265
982	14491	250
983	14506	235
984	14518	221
985	14531	206
986	14545	191
987	14558	176
988	14571	162
989	14586	147
990	14602	132
991	14616	117
992	14628	103
993	14642	88
994	14655	73
995	14668	58
996	14681	44
997	14694	29
998	14707	14
999	14719	0
