,feature,Loss
223,CDL_INNECK,1.1669973159061735
19,BBL_20_2.0:1d,1.1667250029168126
208,CDL_DRAGONFLYDOJI,1.1656370206317752
65,High:STOCH:7:3:1d,1.1652295502213936
81,Close:STOCHk:14:3:1d,1.1415259172976122
1,Open:1d,1.1415259172976122
221,CDL_HOMINGPIGEON,1.122675710443223
2,High:1d,1.0981308411214954
192,CDL_3BLACKCROWS,1.09646564796454
74,Open:STOCH:9:3:1d,1.0751431576487085
12,EMA_49:1d,1.0743898166530421
79,Low:STOCHd:9:3:1d,1.0738881755573713
25,BBL_50_2.0:1d,1.052262364082778
86,Open:STOCH:14:3:1d,1.050542780436559
147,FI_14_2:1d,1.0294805802526907
129,MACD_5:1d,1.007379641560267
62,Open:STOCH:7:3:1d,1.0064365125804564
191,CDL_2CROWS,1.0050251256281406
68,Low:STOCH:7:3:1d,1.0050251256281406
122,OBV_9:1d,1.0040863981319323
248,CDL_THRUSTING,0.9831460674157303
16,KC_20_10_3.2_LOWER:1d,0.9822263797942001
11,EMA_25:1d,0.9816524482879514
196,CDL_3STARSINSOUTH,0.9146341463414636
151,BEARS_14_1:1d,0.9139910944457464
198,CDL_ABANDONEDBABY,0.9118541033434652
206,CDL_DOJI_10_0.1,0.8907641819034223
149,FI_14_5:1d,0.889304937982682
130,MACD_7:1d,0.8888888888888888
18,KC_50_18_3.2_LOWER:1d,0.8685446009389671
141,AC_1:1d,0.8658008658008658
120,OBV_5:1d,0.865598315592467
246,CDL_TAKURI,0.8434864104967198
126,MACD_1:1d,0.8209217778820218
54,Low:STOCHk:5:3:1d,0.8206330597889802
156,PSAR:1d,0.8203445447087777
13,EMA_50:1d,0.8198641368001875
98,Open:STOCH:20:3:1d,0.8192883895131086
199,CDL_ADVANCEBLOCK,0.8191925102399065
104,Low:STOCH:20:3:1d,0.7980284004224856
28,BBL_50_3.0:1d,0.7977475363679022
87,High:STOCHk:14:3:1d,0.797373358348968
148,FI_14_3:1d,0.7960664949660501
123,OBV_14:1d,0.773921200750469
67,Low:STOCHd:7:3:1d,0.7737397420867527
138,MACDh_3:1d,0.7736490446606494
92,Low:STOCH:14:3:1d,0.7506450856204552
146,FI_14_1:1d,0.7501172058134083
55,Low:STOCHd:5:3:1d,0.7274433884782353
150,FI_14_7:1d,0.7048872180451128
23,BBM_20_3.0:1d,0.7046388725778039
17,KC_50_18_3.2_UPPER:1d,0.7044734061289186
119,OBV_3:1d,0.7041427062551343
232,CDL_MATCHINGLOW,0.6815511163337251
244,CDL_STALLEDPATTERN,0.6582040432534085
89,High:STOCH:14:3:1d,0.6581266893877071
53,High:STOCH:5:3:1d,0.6578947368421052
108,Open:STOCHk:50:3:1d,0.6578174556560554
213,CDL_GRAVESTONEDOJI,0.6577401926239136
10,EMA_20:1d,0.6351446718419196
225,CDL_INVERTEDHAMMER,0.6346967559943583
96,Open:STOCHk:20:3:1d,0.6344730348960169
222,CDL_IDENTICAL3CROWS,0.6343984962406015
43,Low:STOCHd:3:3:1d,0.6341005166744951
91,Low:STOCHd:14:3:1d,0.6116207951070336
38,Open:STOCH:3:3:1d,0.6115488651064329
234,CDL_MORNINGDOJISTAR,0.6114769520225777
136,MACDh_1:1d,0.6114050558495003
152,BEARS_14_2:1d,0.6113331765812368
194,CDL_3LINESTRIKE,0.6112613142118255
205,CDL_DARKCLOUDCOVER,0.5883045064125191
115,Low:STOCHd:50:3:1d,0.588235294117647
133,MACDs_3:1d,0.5877512636652168
97,Open:STOCHd:20:3:1d,0.5877512636652168
132,MACDs_2:1d,0.564838785596611
52,High:STOCHd:5:3:1d,0.5647058823529412
59,Close:STOCH:7:3:1d,0.5617977528089888
3,Low:1d,0.5414312617702448
137,MACDh_2:1d,0.5414312617702448
218,CDL_HIGHWAVE,0.5414312617702448
26,BBM_50_2.0:1d,0.5413038361967522
50,Open:STOCH:5:3:1d,0.5407311625719996
77,High:STOCH:9:3:1d,0.5180737077593311
40,High:STOCHd:3:3:1d,0.5178907721280602
102,Low:STOCHk:20:3:1d,0.51782982229022
109,Open:STOCHd:50:3:1d,0.5176470588235293
48,Open:STOCHk:5:3:1d,0.51752528816749
111,High:STOCHk:50:3:1d,0.49446668236402164
177,waves_RSI_14_max:1d,0.49429210309521004
93,Close:STOCHk:20:3:1d,0.49376910416176817
58,Close:STOCHd:7:3:1d,0.493131384290243
110,Open:STOCH:50:3:1d,0.47136460051850115
114,Low:STOCHk:50:3:1d,0.4713090609166961
15,KC_20_10_3.2_UPPER:1d,0.4712535344015081
44,Low:STOCH:3:3:1d,0.4710870333294077
241,CDL_SHOOTINGSTAR,0.4710870333294077
75,High:STOCHk:9:3:1d,0.44758539458186103
197,CDL_3WHITESOLDIERS,0.4472693032015066
187,div_STOCHRSIk_14_max:1d,0.4243281471004243
215,CDL_HANGINGMAN,0.4240782188714808
106,Close:STOCHd:50:3:1d,0.4234297812279464
214,CDL_HAMMER,0.40056550424128173
51,High:STOCHk:5:3:1d,0.37722503831191795
127,MACD_2:1d,0.37691401648998824
103,Low:STOCHd:20:3:1d,0.37669217186580345
99,High:STOCHk:20:3:1d,0.3761608087457388
88,High:STOCHd:14:3:1d,0.3538153084090105
105,Close:STOCHk:50:3:1d,0.35377358490566035
90,Low:STOCHk:14:3:1d,0.3535234503888758
66,Low:STOCHk:7:3:1d,0.33030553261767137
73,Open:STOCHd:9:3:1d,0.3300719085229282
61,Open:STOCHd:7:3:1d,0.33003300330033003
164,waves_STOCHk_50_min:1d,0.32968326857411984
158,waves_MACD_12_26_9_min:1d,0.3069657615112161
70,Close:STOCHd:9:3:1d,0.30682086381873974
84,Open:STOCHk:14:3:1d,0.3067846607669617
82,Close:STOCHd:14:3:1d,0.306567621742719
85,Open:STOCHd:14:3:1d,0.3063508895958525
8,EMA_13:1d,0.2833530106257379
180,waves_STOCHk_14_max:1d,0.28331956085468074
60,Open:STOCHk:7:3:1d,0.28331956085468074
72,Open:STOCHk:9:3:1d,0.28331956085468074
